AC,AF,AR,AS,AST,AY,AwayTeam,B365A,B365D,B365H,BWA,BWD,BWH,Date,Day,Div,FTAG,FTHG,FTR,HC,HF,HR,HS,HST,HTAG,HTHG,HTR,HY,HomeTeam,IWA,IWD,IWH,Month,Referee,VCA,VCD,VCH,Year,season
0.0,14.0,1.0,4.0,2.0,2.0,Charlton,3.75,3.2,2.0,3.2,3.2,2.1,2006-08-19,19,E0,1.0,3.0,H,6.0,14.0,0.0,16.0,5.0,1.0,0.0,A,2.0,West Ham,3.3,3.2,2.0,08,H Webb,3.75,3.1,2.0,06,0607
1.0,19.0,0.0,5.0,3.0,2.0,Aston Villa,13.0,4.5,1.28,10.0,5.0,1.25,2006-08-19,19,E0,1.0,1.0,D,18.0,10.0,0.0,19.0,11.0,0.0,0.0,D,1.0,Arsenal,8.5,4.4,1.3,08,G Poll,11.0,4.5,1.3,06,0607
3.0,22.0,0.0,9.0,6.0,1.0,Tottenham,2.6,3.2,2.62,2.55,3.1,2.6,2006-08-19,19,E0,0.0,2.0,H,6.0,19.0,0.0,8.0,6.0,0.0,2.0,H,0.0,Bolton,2.6,3.1,2.5,08,P Dowd,2.5,3.25,2.65,06,0607
6.0,13.0,0.0,12.0,8.0,2.0,Watford,5.5,3.4,1.66,5.0,3.4,1.65,2006-08-19,19,E0,1.0,2.0,H,0.0,12.0,0.0,6.0,2.0,0.0,1.0,H,2.0,Everton,4.3,3.4,1.7,08,P Walton,5.5,3.5,1.6,06,0607
11.0,20.0,0.0,14.0,9.0,2.0,Wigan,4.75,3.5,1.72,4.7,3.35,1.7,2006-08-19,19,E0,1.0,2.0,H,4.0,17.0,0.0,9.0,8.0,0.0,1.0,H,1.0,Newcastle,4.3,3.4,1.7,08,M Atkinson,5.0,3.5,1.65,06,0607
2.0,17.0,2.0,9.0,7.0,1.0,Blackburn,3.1,3.1,2.3,2.7,3.1,2.45,2006-08-19,19,E0,0.0,3.0,H,6.0,20.0,0.0,21.0,16.0,0.0,1.0,H,2.0,Portsmouth,2.6,3.1,2.5,08,A Wiley,2.75,3.25,2.4,06,0607
2.0,15.0,0.0,7.0,5.0,3.0,Middlesbrough,2.8,3.1,2.5,2.6,3.1,2.55,2006-08-19,19,E0,2.0,3.0,H,8.0,8.0,0.0,14.0,9.0,2.0,2.0,D,1.0,Reading,2.6,3.1,2.5,08,M Halsey,2.75,3.25,2.4,06,0607
12.0,16.0,0.0,12.0,7.0,2.0,Liverpool,1.53,3.8,6.0,1.55,3.5,5.9,2006-08-19,19,E0,1.0,1.0,D,0.0,10.0,0.0,5.0,3.0,0.0,0.0,D,1.0,Sheffield United,1.6,3.6,4.8,08,R Styles,1.55,3.75,5.5,06,0607
2.0,15.0,1.0,5.0,2.0,3.0,Man City,13.0,5.5,1.22,12.0,5.5,1.2,2006-08-20,20,E0,0.0,3.0,H,5.0,7.0,0.0,10.0,4.0,0.0,2.0,H,1.0,Chelsea,9.5,4.8,1.25,08,S Bennett,12.0,5.5,1.22,06,0607
2.0,20.0,0.0,12.0,8.0,1.0,Fulham,13.0,5.5,1.22,9.5,4.85,1.27,2006-08-20,20,E0,1.0,5.0,H,5.0,14.0,0.0,15.0,7.0,1.0,4.0,H,1.0,Man United,8.5,4.4,1.3,08,A Marriner,9.0,5.0,1.28,06,0607
